CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
6H,163,ISRAIR AIRLINES,2025-07-03T17:00:00,2025-07-03T17:00:00,D,TIA,TIRANA,טיראנה,TIRANA,אלבניה,ALBANIA,3,G1-G8,G,ON TIME,בזמן
6H,992,ISRAIR AIRLINES,2025-07-03T17:00:00,2025-07-03T17:00:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
AM,7856,AERO MEXICO,2025-07-03T17:10:00,2025-07-03T17:10:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
AR,7856,AEROLINEAS ARGENTINAS S.A.,2025-07-03T17:10:00,2025-07-03T17:10:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
B6,6456,JETBLUE AIRWAYS CORPORATION,2025-07-03T17:10:00,2025-07-03T17:10:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
DL,7431,DELTA AIRLINES,2025-07-03T17:10:00,2025-07-03T17:10:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
LY,008,EL AL ISRAEL AIRLINES,2025-07-03T17:10:00,2025-07-03T17:10:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
U8,157,TUS AIRWAYS,2025-07-03T17:10:00,2025-07-03T17:10:00,A,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
6H,342,ISRAIR AIRLINES,2025-07-03T17:10:00,2025-07-03T17:10:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
AM,7866,AERO MEXICO,2025-07-03T17:15:00,2025-07-03T17:15:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
AR,7873,AEROLINEAS ARGENTINAS S.A.,2025-07-03T17:15:00,2025-07-03T17:15:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
IB,7716,IBERIA,2025-07-03T17:15:00,2025-07-03T17:15:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
LY,397,EL AL ISRAEL AIRLINES,2025-07-03T17:15:00,2025-07-03T17:15:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
LY,545,EL AL ISRAEL AIRLINES,2025-07-03T17:15:00,2025-07-03T17:15:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,78-99,D,ON TIME,בזמן
IZ,429,ARKIA  ISRAELI  AIRLINES,2025-07-03T17:20:00,2025-07-03T17:20:00,D,PZY,PIESTANY,פישטני,PIESTANY,סלובקיה,SLOVAKIA,3,49-55,B,ON TIME,בזמן
KL,2472,K.L.M.,2025-07-03T17:20:00,2025-07-03T17:20:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,NOT FINAL,לא סופי
LY,338,EL AL ISRAEL AIRLINES,2025-07-03T17:20:00,2025-07-03T17:20:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,NOT FINAL,לא סופי
SK,3150,SAS,2025-07-03T17:20:00,2025-07-03T17:20:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,NOT FINAL,לא סופי
LY,348,EL AL ISRAEL AIRLINES,2025-07-03T17:25:00,2025-07-03T17:25:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,NOT FINAL,לא סופי
SK,3188,SAS,2025-07-03T17:25:00,2025-07-03T17:25:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,NOT FINAL,לא סופי
6H,512,ISRAIR AIRLINES,2025-07-03T17:25:00,2025-07-03T17:25:00,A,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,,,NOT FINAL,לא סופי
