CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
LY,2366,EL AL ISRAEL AIRLINES,2025-07-02T14:15:00,2025-07-02T14:08:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,LANDED,נחתה
EK,2448,EMIRATES,2025-07-02T14:35:00,2025-07-02T14:17:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
FZ,1081,FLYDUBAI,2025-07-02T14:35:00,2025-07-02T14:17:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
AR,7876,AEROLINEAS ARGENTINAS S.A.,2025-07-02T14:25:00,2025-07-02T14:20:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
LY,386,EL AL ISRAEL AIRLINES,2025-07-02T14:25:00,2025-07-02T14:20:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
SK,3168,SAS,2025-07-02T14:25:00,2025-07-02T14:20:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
TP,8899,AIR PORTUGAL,2025-07-02T14:25:00,2025-07-02T14:20:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
LO,5256,LOT POLISH AIRLINES,2025-07-02T14:35:00,2025-07-02T14:23:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,LANDED,נחתה
LY,5102,EL AL ISRAEL AIRLINES,2025-07-02T14:35:00,2025-07-02T14:23:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,LANDED,נחתה
IZ,511,ARKIA  ISRAELI  AIRLINES,2025-07-02T08:15:00,2025-07-02T14:24:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,34-49,B,DEPARTED,המריאה
EK,2364,EMIRATES,2025-07-02T13:40:00,2025-07-02T14:28:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,56-61,C,DEPARTED,המריאה
FZ,1212,FLYDUBAI,2025-07-02T13:40:00,2025-07-02T14:28:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,56-61,C,DEPARTED,המריאה
WZ,023,RED WINGS AIRLINES,2025-07-02T14:00:00,2025-07-02T14:28:00,A,ZIA,MOSCOW-ZHUKOVSKY INTL AIRPOTR,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,LANDED,נחתה
6H,755,ISRAIR AIRLINES,2025-07-02T09:00:00,2025-07-02T14:30:00,D,LJU,LJUBLJANA,לובליאנה,LJUBLJANA,סלובניה,SLOVENIA,3,23-33,A,DEPARTED,המריאה
BZ,694,BLUE BIRD AIRWAYS,2025-07-02T14:40:00,2025-07-02T14:40:00,D,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,G1-G10,G,CANCELED,מבוטלת
CY,110,CYPRUS AIRWAYS,2025-07-02T13:25:00,2025-07-02T14:42:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
LY,574,EL AL ISRAEL AIRLINES,2025-07-02T13:30:00,2025-07-02T14:44:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,LANDED,נחתה
BZ,754,BLUE BIRD AIRWAYS,2025-07-02T14:05:00,2025-07-02T14:46:00,D,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,G1-G10,G,DEPARTED,המריאה
6H,994,ISRAIR AIRLINES,2025-07-02T13:00:00,2025-07-02T14:49:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
BZ,442,BLUE BIRD AIRWAYS,2025-07-02T14:20:00,2025-07-02T14:51:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,G1-G10,G,DEPARTED,המריאה
ET,418,ETHIOPIAN AIRLINES,2025-07-02T15:10:00,2025-07-02T14:52:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,,,LANDED,נחתה
LY,362,EL AL ISRAEL AIRLINES,2025-07-02T15:00:00,2025-07-02T14:59:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,LANDED,נחתה
6H,345,ISRAIR AIRLINES,2025-07-02T15:00:00,2025-07-02T15:00:00,D,NAP,NAPLES-CAPODICHINO,נאפולי,NAPLES,איטליה,ITALY,3,23-33,A,CANCELED,מבוטלת
EY,594,ETIHAD AIRWAYS,2025-07-02T14:50:00,2025-07-02T15:01:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,12-16,A,DEPARTED,המריאה
6H,884,ISRAIR AIRLINES,2025-07-02T14:40:00,2025-07-02T15:02:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,,,LANDED,נחתה
6H,174,ISRAIR AIRLINES,2025-07-02T15:05:00,2025-07-02T15:05:00,A,TIV,TIVAT,טיבאת,TIVAT,מונטנגרו,MONTENEGRO,3,,,LANDED,נחתה
BZ,252,BLUE BIRD AIRWAYS,2025-07-02T13:35:00,2025-07-02T15:06:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,G11-G15,G,DEPARTED,המריאה
WZ,012,RED WINGS AIRLINES,2025-07-02T11:00:00,2025-07-02T15:07:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,7-10,A,DEPARTED,המריאה
BZ,564,BLUE BIRD AIRWAYS,2025-07-02T15:10:00,2025-07-02T15:10:00,D,BOJ,BURGAS,בורגס,BOURGAS,בולגריה,BULGARIA,3,,,CANCELED,מבוטלת
U8,103,TUS AIRWAYS,2025-07-02T14:55:00,2025-07-02T15:10:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,G1-G10,G,DEPARTED,המריאה
IZ,338,ARKIA  ISRAELI  AIRLINES,2025-07-02T15:10:00,2025-07-02T15:11:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,LANDED,נחתה
LY,5243,EL AL ISRAEL AIRLINES,2025-07-02T14:15:00,2025-07-02T15:12:00,D,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,78-99,D,DEPARTED,המריאה
LY,5108,EL AL ISRAEL AIRLINES,2025-07-02T12:15:00,2025-07-02T15:13:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,,,LANDED,נחתה
6H,253,ISRAIR AIRLINES,2025-07-02T14:40:00,2025-07-02T15:14:00,D,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,23-33,A,DEPARTED,המריאה
BZ,704,BLUE BIRD AIRWAYS,2025-07-02T14:25:00,2025-07-02T15:16:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,G1-G10,G,DEPARTED,המריאה
LY,354,EL AL ISRAEL AIRLINES,2025-07-02T15:00:00,2025-07-02T15:17:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,LANDED,נחתה
A4,5026,AZIMUTH AIRLINES,2025-07-02T13:40:00,2025-07-02T15:21:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,62-64,C,DEPARTED,המריאה
LY,5463,EL AL ISRAEL AIRLINES,2025-07-02T14:30:00,2025-07-02T15:23:00,D,OPO,PORTO,פורטו,PORTO,פורטוגל,PORTUGAL,3,78-99,D,DEPARTED,המריאה
TP,8924,AIR PORTUGAL,2025-07-02T14:30:00,2025-07-02T15:23:00,D,OPO,PORTO,פורטו,PORTO,פורטוגל,PORTUGAL,3,78-99,D,DEPARTED,המריאה
LY,297,EL AL ISRAEL AIRLINES,2025-07-02T13:50:00,2025-07-02T15:25:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,DEPARTED,המריאה
IZ,525,ARKIA  ISRAELI  AIRLINES,2025-07-02T14:15:00,2025-07-02T15:27:00,D,BSL,BASEL,באזל,BASEL,שוויץ,SWITZERLAND,3,34-49,B,DEPARTED,המריאה
AF,6170,AIR FRANCE,2025-07-02T14:50:00,2025-07-02T15:28:00,A,MRS,MARSEILLE,מרסיי,MARSEILLE,צרפת,FRANCE,3,,,LANDED,נחתה
LY,322,EL AL ISRAEL AIRLINES,2025-07-02T14:50:00,2025-07-02T15:28:00,A,MRS,MARSEILLE,מרסיי,MARSEILLE,צרפת,FRANCE,3,,,LANDED,נחתה
TP,8907,AIR PORTUGAL,2025-07-02T14:50:00,2025-07-02T15:28:00,A,MRS,MARSEILLE,מרסיי,MARSEILLE,צרפת,FRANCE,3,,,LANDED,נחתה
BZ,462,BLUE BIRD AIRWAYS,2025-07-02T14:55:00,2025-07-02T15:29:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,G1-G10,G,DEPARTED,המריאה
LY,972,EL AL ISRAEL AIRLINES,2025-07-02T15:20:00,2025-07-02T15:30:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
IZ,079,ARKIA  ISRAELI  AIRLINES,2025-07-02T14:45:00,2025-07-02T15:31:00,D,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,34-49,B,DEPARTED,המריאה
B6,6482,JETBLUE AIRWAYS CORPORATION,2025-07-02T14:25:00,2025-07-02T15:32:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
DL,7442,DELTA AIRLINES,2025-07-02T14:25:00,2025-07-02T15:32:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
LY,026,EL AL ISRAEL AIRLINES,2025-07-02T14:25:00,2025-07-02T15:32:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
LY,285,EL AL ISRAEL AIRLINES,2025-07-02T14:55:00,2025-07-02T15:35:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
SK,3169,SAS,2025-07-02T14:55:00,2025-07-02T15:35:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
SK,3177,SAS,2025-07-02T14:55:00,2025-07-02T15:35:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
U8,132,TUS AIRWAYS,2025-07-02T15:10:00,2025-07-02T15:39:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,G1-G10,G,DEPARTED,המריאה
LY,2522,EL AL ISRAEL AIRLINES,2025-07-02T15:50:00,2025-07-02T15:40:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,LANDED,נחתה
AF,6174,AIR FRANCE,2025-07-02T15:40:00,2025-07-02T15:48:00,A,NCE,NICE,ניס,NICE,צרפת,FRANCE,3,,,LANDED,נחתה
LY,224,EL AL ISRAEL AIRLINES,2025-07-02T15:40:00,2025-07-02T15:48:00,A,NCE,NICE,ניס,NICE,צרפת,FRANCE,3,,,LANDED,נחתה
EK,2449,EMIRATES,2025-07-02T15:50:00,2025-07-02T15:53:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,56-59,C,DEPARTED,המריאה
FZ,1082,FLYDUBAI,2025-07-02T15:50:00,2025-07-02T15:53:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,56-59,C,DEPARTED,המריאה
IB,7713,IBERIA,2025-07-02T15:50:00,2025-07-02T15:57:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,LANDED,נחתה
LY,394,EL AL ISRAEL AIRLINES,2025-07-02T15:50:00,2025-07-02T15:57:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,LANDED,נחתה
LY,281,EL AL ISRAEL AIRLINES,2025-07-02T15:30:00,2025-07-02T16:04:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
TP,8908,AIR PORTUGAL,2025-07-02T15:30:00,2025-07-02T16:04:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
6H,041,ISRAIR AIRLINES,2025-07-02T13:40:00,2025-07-02T16:06:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G26-G31,G,DEPARTED,המריאה
WZ,024,RED WINGS AIRLINES,2025-07-02T15:30:00,2025-07-02T16:11:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,7-10,A,DEPARTED,המריאה
CY,111,CYPRUS AIRWAYS,2025-07-02T15:35:00,2025-07-02T16:13:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,53-55,B,DEPARTED,המריאה
LY,5142,EL AL ISRAEL AIRLINES,2025-07-02T16:20:00,2025-07-02T16:14:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
LY,2372,EL AL ISRAEL AIRLINES,2025-07-02T15:55:00,2025-07-02T16:16:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,LANDED,נחתה
SK,3154,SAS,2025-07-02T15:55:00,2025-07-02T16:16:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,LANDED,נחתה
LY,5221,EL AL ISRAEL AIRLINES,2025-07-02T13:45:00,2025-07-02T16:20:00,D,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,78-99,D,DEPARTED,המריאה
LY,346,EL AL ISRAEL AIRLINES,2025-07-02T15:55:00,2025-07-02T16:23:00,A,GVA,GENEVA,ז'נבה,GENEVA,שוויץ,SWITZERLAND,3,,,LANDED,נחתה
LY,312,EL AL ISRAEL AIRLINES,2025-07-02T16:35:00,2025-07-02T16:26:00,A,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
6H,991,ISRAIR AIRLINES,2025-07-02T15:45:00,2025-07-02T16:28:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,23-33,A,DEPARTED,המריאה
6H,727,ISRAIR AIRLINES,2025-07-02T16:05:00,2025-07-02T16:30:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,24-33,A,ON TIME,בזמן
IZ,523,ARKIA  ISRAELI  AIRLINES,2025-07-02T16:25:00,2025-07-02T16:31:00,D,GVA,GENEVA,ז'נבה,GENEVA,שוויץ,SWITZERLAND,3,49-52,B,DEPARTED,המריאה
DL,7455,DELTA AIRLINES,2025-07-02T16:00:00,2025-07-02T16:33:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,LANDED,נחתה
LY,358,EL AL ISRAEL AIRLINES,2025-07-02T16:00:00,2025-07-02T16:33:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,LANDED,נחתה
6H,250,ISRAIR AIRLINES,2025-07-02T16:45:00,2025-07-02T16:36:00,A,SZG,SALZBURG,זלצבורג,SALZBURG,אוסטריה,AUSTRIA,3,,,LANDED,נחתה
6H,335,ISRAIR AIRLINES,2025-07-02T11:00:00,2025-07-02T16:37:00,D,CTA,CATANIA  FONTANAROSSA,קטאניה,CATANIA,איטליה,ITALY,3,23-33,A,DEPARTED,המריאה
6H,515,ISRAIR AIRLINES,2025-07-02T16:20:00,2025-07-02T16:38:00,D,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,24-33,A,DEPARTED,המריאה
AF,7068,AIR FRANCE,2025-07-02T16:35:00,2025-07-02T16:39:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDING,בנחיתה
AM,7898,AERO MEXICO,2025-07-02T16:35:00,2025-07-02T16:39:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDING,בנחיתה
LY,320,EL AL ISRAEL AIRLINES,2025-07-02T16:35:00,2025-07-02T16:39:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDING,בנחיתה
SK,3164,SAS,2025-07-02T16:35:00,2025-07-02T16:39:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDING,בנחיתה
LY,313,EL AL ISRAEL AIRLINES,2025-07-02T16:10:00,2025-07-02T16:40:00,D,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,78-99,D,DEPARTED,המריאה
LY,343,EL AL ISRAEL AIRLINES,2025-07-02T16:40:00,2025-07-02T16:40:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,78-99,D,ON TIME,בזמן
SK,3191,SAS,2025-07-02T16:40:00,2025-07-02T16:40:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,78-99,D,ON TIME,בזמן
ET,419,ETHIOPIAN AIRLINES,2025-07-02T16:00:00,2025-07-02T16:44:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,17-22,A,DEPARTED,המריאה
EY,597,ETIHAD AIRWAYS,2025-07-02T16:45:00,2025-07-02T16:45:00,A,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,CANCELED,מבוטלת
LY,5129,EL AL ISRAEL AIRLINES,2025-07-02T16:25:00,2025-07-02T16:50:00,D,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,78-99,D,ON TIME,בזמן
AM,7865,AERO MEXICO,2025-07-02T16:55:00,2025-07-02T16:55:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,61-77,C,ON TIME,בזמן
AR,7857,AEROLINEAS ARGENTINAS S.A.,2025-07-02T16:55:00,2025-07-02T16:55:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,61-77,C,ON TIME,בזמן
B6,6457,JETBLUE AIRWAYS CORPORATION,2025-07-02T16:55:00,2025-07-02T16:55:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,61-77,C,ON TIME,בזמן
DL,7432,DELTA AIRLINES,2025-07-02T16:55:00,2025-07-02T16:55:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,61-77,C,ON TIME,בזמן
LY,011,EL AL ISRAEL AIRLINES,2025-07-02T16:55:00,2025-07-02T16:55:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,61-77,C,ON TIME,בזמן
LY,375,EL AL ISRAEL AIRLINES,2025-07-02T16:55:00,2025-07-02T16:55:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,78-99,D,ON TIME,בזמן
TP,8920,AIR PORTUGAL,2025-07-02T16:55:00,2025-07-02T16:55:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,78-99,D,ON TIME,בזמן
AM,7877,AERO MEXICO,2025-07-02T17:00:00,2025-07-02T17:00:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,61-77,C,ON TIME,בזמן
KL,2472,K.L.M.,2025-07-02T17:05:00,2025-07-02T17:00:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,FINAL,סופי
LY,317,EL AL ISRAEL AIRLINES,2025-07-02T17:00:00,2025-07-02T17:00:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,61-77,C,ON TIME,בזמן
LY,338,EL AL ISRAEL AIRLINES,2025-07-02T17:05:00,2025-07-02T17:00:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,FINAL,סופי
SK,3150,SAS,2025-07-02T17:05:00,2025-07-02T17:00:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,FINAL,סופי
VS,7495,VIRGIN ATLANTIC AIRWAYS,2025-07-02T17:00:00,2025-07-02T17:00:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,61-77,C,ON TIME,בזמן
LY,382,EL AL ISRAEL AIRLINES,2025-07-02T16:50:00,2025-07-02T17:05:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,FINAL,סופי
SK,3184,SAS,2025-07-02T16:50:00,2025-07-02T17:05:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,FINAL,סופי
AF,7071,AIR FRANCE,2025-07-02T17:15:00,2025-07-02T17:15:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
AM,7853,AERO MEXICO,2025-07-02T17:15:00,2025-07-02T17:15:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
LY,325,EL AL ISRAEL AIRLINES,2025-07-02T17:15:00,2025-07-02T17:15:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
LY,545,EL AL ISRAEL AIRLINES,2025-07-02T17:15:00,2025-07-02T17:15:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,78-99,D,ON TIME,בזמן
LY,551,EL AL ISRAEL AIRLINES,2025-07-02T17:15:00,2025-07-02T17:15:00,D,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,78-99,D,ON TIME,בזמן
AM,7859,AERO MEXICO,2025-07-02T16:55:00,2025-07-02T17:16:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,FINAL,סופי
AR,7872,AEROLINEAS ARGENTINAS S.A.,2025-07-02T16:55:00,2025-07-02T17:16:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,FINAL,סופי
IB,7715,IBERIA,2025-07-02T16:55:00,2025-07-02T17:16:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,FINAL,סופי
LY,396,EL AL ISRAEL AIRLINES,2025-07-02T16:55:00,2025-07-02T17:16:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,FINAL,סופי
LY,348,EL AL ISRAEL AIRLINES,2025-07-02T16:30:00,2025-07-02T17:24:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,FINAL,סופי
SK,3188,SAS,2025-07-02T16:30:00,2025-07-02T17:24:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,FINAL,סופי
AM,7851,AERO MEXICO,2025-07-02T16:15:00,2025-07-02T17:30:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
KL,2475,K.L.M.,2025-07-02T16:15:00,2025-07-02T17:30:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
LY,2373,EL AL ISRAEL AIRLINES,2025-07-02T17:30:00,2025-07-02T17:30:00,D,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,78-99,D,ON TIME,בזמן
LY,339,EL AL ISRAEL AIRLINES,2025-07-02T16:15:00,2025-07-02T17:30:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
SK,3151,SAS,2025-07-02T16:15:00,2025-07-02T17:30:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
AM,7866,AERO MEXICO,2025-07-02T17:15:00,2025-07-02T17:35:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
AR,7873,AEROLINEAS ARGENTINAS S.A.,2025-07-02T17:15:00,2025-07-02T17:35:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
IB,7716,IBERIA,2025-07-02T17:15:00,2025-07-02T17:35:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
LY,397,EL AL ISRAEL AIRLINES,2025-07-02T17:15:00,2025-07-02T17:35:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
IZ,096,ARKIA  ISRAELI  AIRLINES,2025-07-02T17:50:00,2025-07-02T17:37:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,FINAL,סופי
IB,7710,IBERIA,2025-07-02T17:45:00,2025-07-02T17:45:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
LY,391,EL AL ISRAEL AIRLINES,2025-07-02T17:45:00,2025-07-02T17:45:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
6H,535,ISRAIR AIRLINES,2025-07-02T17:20:00,2025-07-02T17:50:00,D,CFU,CORFU,קורפו,CORFU,יוון,GREECE,3,29-33,A,ON TIME,בזמן
LY,2523,EL AL ISRAEL AIRLINES,2025-07-02T17:55:00,2025-07-02T17:55:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,78-99,D,ON TIME,בזמן
LY,5222,EL AL ISRAEL AIRLINES,2025-07-02T17:55:00,2025-07-02T17:55:00,A,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,,,NOT FINAL,לא סופי
AR,7879,AEROLINEAS ARGENTINAS S.A.,2025-07-02T18:00:00,2025-07-02T18:00:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
LY,289,EL AL ISRAEL AIRLINES,2025-07-02T18:00:00,2025-07-02T18:00:00,D,VCE,VENICE,ונציה,VENICE,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
